,0,1
1,5573870.56825399,4947824.101042586
2,5575858.730337109,4976820.059484489
3,5569852.1796178715,4963837.556727892
4,5567934.293144552,4963427.253242318
5,5567827.011958281,4961658.054728152
6,5567693.316047014,4963185.62399061
7,5575972.27,4976148.149999999
8,5567863.666653529,4961394.280894072
9,5567882.298751128,4961987.846288608
10,5576671.298425212,4972240.557254508
11,5576590.850792443,4971872.675692454
12,5576406.768071176,4971044.672756466
13,5581717.565455007,4942016.806956829
14,5567868.990109995,4962882.186972762
15,5577783.5975952,4948156.05454351
16,5574282.624692719,4968349.186464663
17,5567538.935809923,4961090.84387621
18,5566995.943251687,4960861.93524872
19,5565691.696420638,4961458.162371483
20,5564813.326105843,4961782.893215133
21,5570326.076718025,4962964.742520066
22,5570220.611378718,4962842.379975311
23,5569805.8569626855,4960704.553710692
24,5569757.275756018,4960309.687280673
25,5569616.396681533,4960093.6726998
26,5568902.60937086,4959580.24673943
27,5568692.856082182,4959298.488590463
28,5568614.589929693,4958925.941704603
29,5555254.884405914,4966833.416087327
30,5557199.411506574,4964397.277465248
31,5561470.919423691,4960323.768094735
32,5562171.889825245,4959941.460936633
33,5567990.622071842,4958074.67681979
34,5566656.370797359,4956230.455410822
35,5562478.755615688,4959791.159324989
36,5496388.644324843,4916139.506630797
37,5562691.682898853,4959575.100758249
38,5571151.39,4963531.08
39,5570759.43,4963242.1
40,5570720.709112883,4963206.663706028
41,5565416.538021211,4957671.214177889
42,5564824.869835103,4957986.757164261
43,5572653.123405343,4961345.93113648
44,5573232.666251953,4959850.065087836
45,5573598.578527799,4959063.690129351
46,5574293.581962042,4957942.918825482
47,5565830.584417469,4957391.123968661
48,5579687.063446731,4951560.858670661
49,5579403.028414855,4951903.936319612
50,5583910.794889869,4951997.450061073
51,5604649.92,4961030.659999999
52,5573472.19483819,4945994.43683375
53,5563623.649999999,4959916.06
55,5574500.204604694,4956984.941118801
56,5574401.500426121,4956359.0584736
57,5573382.695283689,4946070.033415369
59,5563500.6,4959205.05
60,5562994.64,4959185.01
61,5563478.1,4959166.119999999
63,5563371.64,4959047.99
64,5563281.29,4958817.3
65,5603349.387523437,4958703.008939694
66,5563197.649999999,4958799.06
67,5563889.975948851,4958693.962464707
68,5563538.88,4958659.99
69,5566676.719997009,4956419.859499868
70,5566254.57,4957430.02
71,5567004.655176288,4956758.751939983
72,5565493.175622309,4960615.356879527
73,5568069.276790682,4957014.061435871
74,5562221.679021506,4955073.029711396
75,5565429.1833356265,4960457.2582889
76,5567376.4,4957246.970000001
77,5566859.862795239,4956192.887656713
78,5562648.67023487,4957093.690307864
79,5566726.52,4956923.970000001
80,5567103.52,4956917.01
81,5564226.630561263,4957885.5015843585
82,5566622.53,4956784.98
83,5564829.607485661,4958426.689353779
84,5565880.023117009,4958364.900198994
85,5565155.225994346,4950232.1374817565
86,5566942.157381212,4957539.269251401
87,5566879.344131509,4956862.675471627
89,5566740.56,4956617.970000001
90,5599908.57,4956536.98
91,5574616.471175151,4956150.676281773
92,5574292.016639085,4956005.048889408
93,5566782.56,4956477.98
94,5572406.236258715,4948214.433530082
95,5566939.750606009,4956652.754231388
96,5565909.97406634,4944124.83111582
97,5572593.734383581,4948423.238260047
98,5572730.09665621,4948832.325077933
99,5573134.531860937,4948486.722684032
100,5565938.29233322,4944197.86551965
101,5566783.34,4956408.6899999995
