indiv_id,trip_id,origin_taz,destination_taz,origin_departure_time,destination_arrival_time,travel_distance,origin_node,destination_node
29809,48873,81,2279,1714,1723,6,1392,1681
36770,60102,81,2313,1001,1029,17,66,2313
20805,34269,83,2341,2346,2355,4,1815,2246
1985,3146,83,84,1000,1003,3,1840,1362
37210,60778,83,84,2007,2010,3,1816,1401
80103,128775,83,143,1558,1607,6,1834,984
96524,153917,83,2355,2017,2100,22,41,2356
98094,156186,83,2270,1222,1234,9,1841,1686
8032,12969,83,2355,1626,1709,22,1832,2057
17728,29231,83,2341,1108,1117,4,1835,1810
69440,111788,83,2341,2158,2207,4,1162,1811
35453,58048,83,2341,1034,1043,4,1831,1338
12373,20361,83,86,1944,1951,4,1841,1972
25057,41213,83,2341,1555,1604,4,1839,1382
33764,55384,83,2348,846,859,8,1832,2348
6061,9840,83,2387,2240,2321,17,1836,2084
32280,53030,83,86,958,1005,4,1813,1974
21483,35352,83,2349,1435,1455,15,1834,1512
1690,2704,83,2280,2253,2303,7,1815,2280
96607,154043,83,1998,1142,1206,16,1817,1998
75086,120950,83,2308,727,756,18,41,459
50668,82284,83,2341,915,924,4,1841,2241
20505,33825,83,2348,1335,1348,8,1833,2157
40058,65475,83,2269,819,830,8,1816,1598
28975,47442,83,2341,1823,1832,4,1834,1338
98791,157162,83,73,1750,1757,5,1832,76
97221,154899,83,308,827,859,16,1840,346
76233,122689,83,84,1807,1810,3,1837,1363
3803,6042,83,2280,714,724,7,1812,1601
20312,33511,83,2341,1000,1009,4,1835,1380
45917,74652,83,2359,1702,1722,10,41,587
30194,49501,83,2283,1400,1406,4,1831,978
46786,76023,83,153,1223,1302,20,1839,2472
68648,110562,83,2267,1210,1227,11,1838,1209
75988,122300,83,2273,1808,1827,13,1840,275
94758,151178,83,139,1757,1824,20,1815,1045
49520,80508,83,2360,918,947,15,1838,1336
3302,5274,83,2280,841,851,7,1814,1549
50743,82361,83,2359,1120,1140,10,1817,2244
53862,87317,83,2341,1813,1822,4,41,2241
35423,58005,83,2389,1405,1453,30,41,1697
25831,42308,83,2326,810,831,12,1835,170
9242,15116,83,84,734,737,3,1837,1340
41131,67154,83,2271,1645,1703,10,1835,1663
26528,43645,83,84,1714,1717,3,1163,1340
5502,8923,83,84,2040,2043,3,1837,1363
6206,10047,83,536,1443,1515,18,1839,1898
36357,59433,83,2280,435,445,7,1163,179
36371,59447,83,2281,1359,1406,6,1835,2281
17945,29612,83,2327,1224,1240,10,1833,430
17460,28806,83,2280,1807,1817,7,1815,1550
3863,6148,83,2338,1029,1040,4,1838,1421
90332,144614,83,84,1538,1541,3,1163,1402
49410,80322,83,86,927,934,4,1833,79
13785,22618,83,2275,1013,1031,13,1838,2129
45223,73588,83,2359,1015,1035,10,1834,587
58015,93916,83,2379,1108,1233,46,1831,2378
48206,78339,83,2338,1419,1430,4,1816,1423
70948,114239,83,2341,1708,1717,4,1815,1382
1584,2523,83,2283,1851,1857,4,1835,1303
40728,66470,83,2353,1933,2001,19,1812,1525
89482,143258,83,1754,1219,1255,20,1813,1884
59851,96687,83,2280,1401,1411,7,1812,179
13132,21484,83,2348,1243,1256,8,1163,2348
82360,132281,83,143,1431,1440,6,1841,143
35931,58778,83,2253,1456,1524,16,1812,1913
17730,29233,83,2281,1552,1559,6,1840,1558
46024,74836,83,86,1703,1710,4,1817,1972
61893,99922,83,2359,1927,1947,10,41,586
52460,85171,83,2343,1804,1850,28,1833,1132
43495,70908,83,2382,955,1032,20,1832,1320
50025,81281,83,2267,736,753,11,1834,181
19009,31301,83,2281,1012,1019,6,1813,1826
33555,55012,83,2338,1627,1638,4,1813,2338
97743,155660,83,84,1145,1148,3,1162,1401
6362,10266,83,2348,907,920,8,1841,1501
56655,91797,83,2323,1538,1608,21,1835,1173
59556,96255,83,2380,1739,1838,33,1813,2380
89311,143032,83,2340,2114,2124,5,1840,2153
38728,63248,83,1997,2050,2114,16,83,496
67156,108217,83,2283,1312,1318,4,1162,979
19529,32131,83,78,517,531,6,1839,965
96067,153179,83,2322,1935,2008,20,1816,2467
19835,32621,83,2281,1235,1242,6,1816,1558
3827,6086,83,2283,1857,1903,4,1838,1821
20616,34005,83,2275,1611,1629,13,1834,2135
10634,17598,83,2359,1311,1331,10,1816,2359
29935,49064,83,2269,1918,1929,8,1840,1675
11827,19531,83,2300,757,824,16,1835,833
46026,74838,83,2359,1818,1838,10,1812,2249
17662,29137,83,1772,740,814,19,1162,1887
71680,115432,83,2269,600,611,8,41,2269
20868,34374,83,2280,1055,1105,7,1814,1550
41257,67372,83,2356,1827,1908,23,1836,924
36267,59283,83,2267,644,701,11,1817,247
84131,135076,83,2280,949,959,7,1814,1549
33331,54589,83,2335,1610,1628,9,1841,1533
17603,29057,83,2280,812,822,7,1163,1546
10873,18008,83,2353,2021,2049,19,1815,1505
4688,7460,83,2336,901,910,5,1831,33
94858,151314,83,2277,1836,1851,9,1838,972
20620,34009,83,330,1208,1236,17,1162,2209
17186,28334,83,2330,1716,1736,12,1832,2330
67615,108977,83,2359,837,857,10,1813,1877
42182,68779,83,2389,1841,1929,30,1836,199
51324,83348,83,73,715,722,5,1832,1409
80459,129281,83,2349,757,817,15,1162,1435
75189,121106,83,2382,1538,1615,20,1813,1641
27560,45134,83,1790,1003,1035,18,1841,636
32159,52794,83,2353,925,953,19,1841,1448
47320,76952,83,2340,1545,1555,5,1815,1808
19338,31791,83,2281,835,842,6,1831,1558
42751,69701,83,2296,1000,1020,13,1838,225
57524,93136,83,2270,1504,1516,9,1835,1673
46102,74951,83,2359,1407,1427,10,1837,1878
25020,41152,83,2359,1431,1451,10,1837,2244
96262,153469,83,2306,1444,1511,17,1835,1982
37327,60995,83,78,724,738,6,1836,101
4834,7770,83,2280,1405,1415,7,1163,1550
69564,111988,83,2277,1213,1228,9,1816,1578
47059,76489,83,2269,1117,1128,8,1812,1551
26490,43568,83,595,1918,1940,15,1838,1871
90367,144676,83,2267,1106,1123,11,1815,1567
7709,12463,83,2341,1104,1113,4,42,1811
61178,98756,83,166,1305,1327,14,1837,134
34812,57072,83,2277,620,635,9,1840,1012
1470,2366,83,143,904,913,6,1831,1830
23046,37997,83,84,1523,1526,3,1813,1404
36255,59269,83,2283,929,935,4,41,979
57289,92796,83,2345,736,809,22,1837,2345
96639,154095,83,2382,1131,1208,20,1833,1639
32776,53765,83,2353,1008,1036,19,1832,1444
17351,28620,83,2380,2047,2146,33,1812,2380
30670,50367,84,2162,1147,1214,16,1402,460
75481,121540,84,2271,1019,1037,9,1363,1663
35461,58058,84,2271,1455,1513,9,1340,1659
79467,127812,84,691,2117,2147,17,1362,698
36974,60439,84,83,1624,1627,3,1403,1812
6161,9990,84,2330,1345,1404,10,1404,159
26794,44021,84,595,1352,1413,14,1403,1896
39323,64108,84,2277,1622,1637,8,84,1572
22792,37576,84,2272,1237,1258,14,1404,1203
19344,31797,84,83,1728,1731,3,1403,1832
34144,55965,84,2280,1651,1700,5,1362,2280
37075,60605,84,2280,1314,1323,5,1403,1601
27885,45720,84,2283,936,942,3,1402,1820
91965,147019,84,2277,1747,1802,8,1402,1012
58329,94440,84,2267,1434,1450,9,1363,249
93573,149312,84,2359,1405,1426,10,1404,2359
190,291,84,2269,1214,1224,7,1362,1594
97118,154752,84,2281,1146,1152,4,84,1818
76232,122688,84,83,1540,1543,3,1402,1815
47017,76409,84,78,1948,2001,4,1401,1670
82495,132529,84,2348,740,755,8,1403,1373
33960,55668,84,1788,2100,2131,16,1403,1788
79971,128555,84,2342,1922,1930,4,1402,37
80061,128721,84,73,1959,2005,3,1363,73
97208,154882,84,83,2213,2216,3,1363,1162
89472,143246,84,2342,1736,1744,4,1344,59
63344,102256,84,2362,1941,2033,33,1401,2362
69597,112044,84,2341,1503,1513,4,1404,1380
